dataset,year,match_id,home_team,away_team,home_score,away_score,winner
1930--uruguay,1930,1,France,Mexico,4,4,France
1930--uruguay,1930,5,Argentina,France,1,1,Argentina
1930--uruguay,1930,6,Chile,Mexico,3,3,Chile
1930--uruguay,1930,10,Chile,France,1,1,Chile
1930--uruguay,1930,11,Argentina,Mexico,6,6,Argentina
1930--uruguay,1930,15,Argentina,Chile,3,3,Argentina
1930--uruguay,1930,3,Yugoslavia,Brazil,2,2,Yugoslavia
1930--uruguay,1930,7,Yugoslavia,Bolivia,4,4,Yugoslavia
1930--uruguay,1930,12,Brazil,Bolivia,4,4,Brazil
1930--uruguay,1930,4,Romania,Peru,3,3,Romania
1930--uruguay,1930,9,Uruguay,Peru,1,1,Uruguay
1930--uruguay,1930,14,Uruguay,Romania,4,4,Uruguay
1930--uruguay,1930,2,United States,Belgium,3,3,United States
1930--uruguay,1930,8,United States,Paraguay,3,3,United States
1930--uruguay,1930,13,Paraguay,Belgium,1,1,Paraguay
1930--uruguay,1930,16,Argentina,United States,6,6,Argentina
1930--uruguay,1930,17,Uruguay,Yugoslavia,6,6,Uruguay
1930--uruguay,1930,18,Uruguay,Argentina,4,4,Uruguay
1934--italy,1934,1,Sweden,Argentina,3,3,Sweden
1934--italy,1934,2,Austria,France,3,3,Austria
1934--italy,1934,3,Germany,Belgium,5,5,Germany
1934--italy,1934,4,Spain,Brazil,3,3,Spain
1934--italy,1934,5,Hungary,Egypt,4,4,Hungary
1934--italy,1934,6,Switzerland,Netherlands,3,3,Switzerland
1934--italy,1934,7,Italy,United States,7,7,Italy
1934--italy,1934,8,Czechoslovakia,Romania,2,2,Czechoslovakia
1934--italy,1934,9,Czechoslovakia,Switzerland,3,3,Czechoslovakia
1934--italy,1934,10,Germany,Sweden,2,2,Germany
1934--italy,1934,11,Italy,Spain,1,1,
1934--italy,1934,12,Austria,Hungary,2,2,Austria
1934--italy,1934,13,Italy,Spain,1,1,Italy
1934--italy,1934,14,Italy,Austria,1,1,Italy
1934--italy,1934,15,Czechoslovakia,Germany,3,3,Czechoslovakia
1934--italy,1934,16,Germany,Austria,3,3,Germany
1934--italy,1934,17,Italy,Czechoslovakia,2,2,Italy
1938--france,1938,1,Switzerland,Germany,1,1,
1938--france,1938,2,Hungary,Dutch East Indies,6,6,Hungary
1938--france,1938,3,France,Belgium,3,3,France
1938--france,1938,4,Cuba,Romania,3,3,
1938--france,1938,5,Italy,Norway,2,2,Italy
1938--france,1938,6,Brazil,Poland,6,6,Brazil
1938--france,1938,7,Czechoslovakia,Netherlands,3,3,Czechoslovakia
1938--france,1938,8,Cuba,Romania,2,2,Cuba
1938--france,1938,9,Germany,Switzerland,2,2,Switzerland
1938--france,1938,10,Brazil,Czechoslovakia,1,1,
1938--france,1938,11,Switzerland,Hungary,0,0,Hungary
1938--france,1938,12,Sweden,Cuba,8,8,Sweden
1938--france,1938,13,France,Italy,1,1,Italy
1938--france,1938,14,Brazil,Czechoslovakia,2,2,Brazil
1938--france,1938,15,Hungary,Sweden,5,5,Hungary
1938--france,1938,16,Italy,Brazil,2,2,Italy
1938--france,1938,17,Sweden,Brazil,2,2,Brazil
1938--france,1938,18,Hungary,Italy,2,2,Italy
1950--brazil,1950,1,Brazil,Mexico,4,4,Brazil
1950--brazil,1950,5,Yugoslavia,Switzerland,3,3,Yugoslavia
1950--brazil,1950,6,Brazil,Switzerland,2,2,
1950--brazil,1950,7,Yugoslavia,Mexico,4,4,Yugoslavia
1950--brazil,1950,11,Brazil,Yugoslavia,2,2,Brazil
1950--brazil,1950,14,Switzerland,Mexico,2,2,Switzerland
1950--brazil,1950,2,England,Chile,2,2,England
1950--brazil,1950,3,Spain,United States,3,3,Spain
1950--brazil,1950,8,Spain,Chile,2,2,Spain
1950--brazil,1950,10,United States,England,1,1,United States
1950--brazil,1950,12,Spain,England,1,1,Spain
1950--brazil,1950,15,Chile,United States,5,5,Chile
1950--brazil,1950,4,Sweden,Italy,3,3,Sweden
1950--brazil,1950,9,Sweden,Paraguay,2,2,
1950--brazil,1950,13,Italy,Paraguay,2,2,Italy
1950--brazil,1950,16,Uruguay,Bolivia,8,8,Uruguay
1950--brazil,1950,17,Uruguay,Spain,2,2,
1950--brazil,1950,18,Brazil,Sweden,7,7,Brazil
1950--brazil,1950,19,Brazil,Spain,6,6,Brazil
1950--brazil,1950,20,Uruguay,Sweden,3,3,Uruguay
1950--brazil,1950,21,Sweden,Spain,3,3,Sweden
