dataset,year,champion,runner-up
1930--uruguay,1930,Uruguay,Argentina
1934--italy,1934,Italy,Czechoslovakia
1938--france,1938,Italy,Hungary
1950--brazil,1950,Uruguay,Brazil
1954--switzerland,1954,Switzerland,Italy
1958--sweden,1958,Northern Ireland,Czechoslovakia
1962--chile,1962,Brazil,Czechoslovakia
1966--england,1966,England,West Germany
1970--mexico,1970,Brazil,Italy
1974--west-germany,1974,West Germany,Netherlands
1978--argentina,1978,Argentina,Netherlands
1982--spain,1982,Italy,West Germany
1986--mexico,1986,Argentina,West Germany
1990--italy,1990,West Germany,Argentina
1994--united-states,1994,Brazil,Italy
1998--france,1998,France,Brazil
2002--south-korea-n-japan,2002,Brazil,Germany
2006--germany,2006,Italy,France
2010--south-africa,2010,Spain,Netherlands
2014--brazil,2014,Germany,Argentina
2018--russia,2018,France,Croatia
