dataset,year,match_id,team,minute_score
1930--uruguay,1930,1,France,19
1930--uruguay,1930,1,France,40
1930--uruguay,1930,1,France,43
1930--uruguay,1930,1,France,87
1930--uruguay,1930,1,Mexico,70
1930--uruguay,1930,5,Argentina,81
1930--uruguay,1930,6,Chile,3
1930--uruguay,1930,6,Chile,65
1930--uruguay,1930,6,Chile,51
1930--uruguay,1930,10,Chile,65
1930--uruguay,1930,11,Argentina,8
1930--uruguay,1930,11,Argentina,17
1930--uruguay,1930,11,Argentina,80
1930--uruguay,1930,11,Argentina,12
1930--uruguay,1930,11,Argentina,55
1930--uruguay,1930,11,Argentina,53
1930--uruguay,1930,11,Mexico,42
1930--uruguay,1930,11,Mexico,65
1930--uruguay,1930,11,Mexico,75
1930--uruguay,1930,15,Argentina,12
1930--uruguay,1930,15,Argentina,13
1930--uruguay,1930,15,Argentina,81
1930--uruguay,1930,15,Chile,15
1930--uruguay,1930,3,Yugoslavia,21
1930--uruguay,1930,3,Yugoslavia,30
1930--uruguay,1930,3,Brazil,62
1930--uruguay,1930,7,Yugoslavia,60
1930--uruguay,1930,7,Yugoslavia,67
1930--uruguay,1930,7,Yugoslavia,65
1930--uruguay,1930,7,Yugoslavia,85
1930--uruguay,1930,12,Brazil,37
1930--uruguay,1930,12,Brazil,73
1930--uruguay,1930,12,Brazil,57
1930--uruguay,1930,12,Brazil,83
1930--uruguay,1930,4,Romania,1
1930--uruguay,1930,4,Romania,79
1930--uruguay,1930,4,Romania,89
1930--uruguay,1930,4,Peru,75
1930--uruguay,1930,9,Uruguay,60
1930--uruguay,1930,14,Uruguay,7
1930--uruguay,1930,14,Uruguay,24
1930--uruguay,1930,14,Uruguay,30
1930--uruguay,1930,14,Uruguay,35
1930--uruguay,1930,2,United States,23
1930--uruguay,1930,2,United States,45
1930--uruguay,1930,2,United States,69
1930--uruguay,1930,8,United States,10
1930--uruguay,1930,8,United States,15
1930--uruguay,1930,8,United States,50
1930--uruguay,1930,13,Paraguay,40
1930--uruguay,1930,16,Argentina,20
1930--uruguay,1930,16,Argentina,56
1930--uruguay,1930,16,Argentina,69
1930--uruguay,1930,16,Argentina,87
1930--uruguay,1930,16,Argentina,80
1930--uruguay,1930,16,Argentina,85
1930--uruguay,1930,16,United States,89
1930--uruguay,1930,17,Uruguay,18
1930--uruguay,1930,17,Uruguay,67
1930--uruguay,1930,17,Uruguay,72
1930--uruguay,1930,17,Uruguay,20
1930--uruguay,1930,17,Uruguay,31
1930--uruguay,1930,17,Uruguay,61
1930--uruguay,1930,17,Yugoslavia,4
1930--uruguay,1930,18,Uruguay,12
1930--uruguay,1930,18,Uruguay,57
1930--uruguay,1930,18,Uruguay,68
1930--uruguay,1930,18,Uruguay,89
1930--uruguay,1930,18,Argentina,20
1930--uruguay,1930,18,Argentina,37
1934--italy,1934,1,Sweden,9
1934--italy,1934,1,Sweden,67
1934--italy,1934,1,Sweden,79
1934--italy,1934,1,Argentina,4
1934--italy,1934,1,Argentina,48
1934--italy,1934,2,Austria,44
1934--italy,1934,2,Austria,93
1934--italy,1934,2,Austria,109
1934--italy,1934,2,France,18
1934--italy,1934,2,France,116
1934--italy,1934,3,Germany,25
1934--italy,1934,3,Germany,49
1934--italy,1934,3,Germany,66
1934--italy,1934,3,Germany,70
1934--italy,1934,3,Germany,87
1934--italy,1934,3,Belgium,29
1934--italy,1934,3,Belgium,43
1934--italy,1934,4,Spain,18
1934--italy,1934,4,Spain,25
1934--italy,1934,4,Spain,29
1934--italy,1934,4,Brazil,55
1934--italy,1934,5,Hungary,11
1934--italy,1934,5,Hungary,27
1934--italy,1934,5,Hungary,61
1934--italy,1934,5,Hungary,53
1934--italy,1934,5,Egypt,31
1934--italy,1934,5,Egypt,39
1934--italy,1934,6,Switzerland,7
1934--italy,1934,6,Switzerland,43
1934--italy,1934,6,Switzerland,69
1934--italy,1934,6,Netherlands,19
1934--italy,1934,6,Netherlands,84
1934--italy,1934,7,Italy,18
1934--italy,1934,7,Italy,29
1934--italy,1934,7,Italy,64
1934--italy,1934,7,Italy,20
1934--italy,1934,7,Italy,69
1934--italy,1934,7,Italy,63
1934--italy,1934,7,Italy,90
1934--italy,1934,7,United States,57
1934--italy,1934,8,Czechoslovakia,50
1934--italy,1934,8,Czechoslovakia,67
1934--italy,1934,8,Romania,11
1934--italy,1934,9,Czechoslovakia,24
1934--italy,1934,9,Czechoslovakia,49
1934--italy,1934,9,Czechoslovakia,82
1934--italy,1934,9,Switzerland,18
1934--italy,1934,9,Switzerland,78
1934--italy,1934,10,Germany,60
1934--italy,1934,10,Germany,63
1934--italy,1934,10,Sweden,82
1934--italy,1934,11,Italy,44
1934--italy,1934,11,Spain,30
1934--italy,1934,12,Austria,8
1934--italy,1934,12,Austria,51
1934--italy,1934,12,Hungary,60
1934--italy,1934,13,Italy,11
1934--italy,1934,14,Italy,19
1934--italy,1934,15,Czechoslovakia,19
1934--italy,1934,15,Czechoslovakia,71
1934--italy,1934,15,Czechoslovakia,80
1934--italy,1934,15,Germany,62
1934--italy,1934,16,Germany,1
1934--italy,1934,16,Germany,42
1934--italy,1934,16,Germany,27
1934--italy,1934,16,Austria,28
1934--italy,1934,16,Austria,54
1934--italy,1934,17,Italy,81
1934--italy,1934,17,Italy,95
1934--italy,1934,17,Czechoslovakia,71
1938--france,1938,1,Switzerland,43
1938--france,1938,1,Germany,29
1938--france,1938,2,Hungary,14
1938--france,1938,2,Hungary,16
1938--france,1938,2,Hungary,25
1938--france,1938,2,Hungary,88
1938--france,1938,2,Hungary,30
1938--france,1938,2,Hungary,67
1938--france,1938,3,France,1
1938--france,1938,3,France,16
1938--france,1938,3,France,69
1938--france,1938,3,Belgium,38
1938--france,1938,4,Cuba,44
1938--france,1938,4,Cuba,87
1938--france,1938,4,Cuba,117
1938--france,1938,4,Romania,35
1938--france,1938,4,Romania,88
1938--france,1938,4,Romania,105
1938--france,1938,5,Italy,2
1938--france,1938,5,Italy,94
1938--france,1938,5,Norway,83
1938--france,1938,6,Brazil,18
1938--france,1938,6,Brazil,93
1938--france,1938,6,Brazil,104
1938--france,1938,6,Brazil,25
1938--france,1938,6,Brazil,44
1938--france,1938,6,Brazil,71
1938--france,1938,6,Poland,23
1938--france,1938,6,Poland,53
1938--france,1938,6,Poland,59
1938--france,1938,6,Poland,89
1938--france,1938,6,Poland,118
1938--france,1938,7,Czechoslovakia,93
1938--france,1938,7,Czechoslovakia,111
1938--france,1938,7,Czechoslovakia,118
1938--france,1938,8,Cuba,51
1938--france,1938,8,Cuba,57
1938--france,1938,8,Romania,35
1938--france,1938,9,Germany,8
1938--france,1938,9,Germany,22
1938--france,1938,9,Switzerland,42
1938--france,1938,9,Switzerland,64
1938--france,1938,9,Switzerland,75
1938--france,1938,9,Switzerland,78
1938--france,1938,10,Brazil,30
1938--france,1938,10,Czechoslovakia,65
1938--france,1938,11,Hungary,40
1938--france,1938,11,Hungary,89
1938--france,1938,12,Sweden,9
1938--france,1938,12,Sweden,81
1938--france,1938,12,Sweden,90
1938--france,1938,12,Sweden,32
1938--france,1938,12,Sweden,37
1938--france,1938,12,Sweden,44
1938--france,1938,12,Sweden,80
1938--france,1938,12,Sweden,84
1938--france,1938,13,France,10
1938--france,1938,13,Italy,9
1938--france,1938,13,Italy,51
1938--france,1938,13,Italy,72
1938--france,1938,14,Brazil,57
1938--france,1938,14,Brazil,62
1938--france,1938,14,Czechoslovakia,25
1938--france,1938,15,Hungary,19
1938--france,1938,15,Hungary,37
1938--france,1938,15,Hungary,39
1938--france,1938,15,Hungary,85
1938--france,1938,15,Hungary,65
1938--france,1938,15,Sweden,1
1938--france,1938,16,Italy,51
1938--france,1938,16,Italy,60
1938--france,1938,16,Brazil,87
1938--france,1938,17,Sweden,28
1938--france,1938,17,Sweden,38
1938--france,1938,17,Brazil,44
1938--france,1938,17,Brazil,63
1938--france,1938,17,Brazil,74
1938--france,1938,17,Brazil,80
1938--france,1938,18,Hungary,8
1938--france,1938,18,Hungary,70
1938--france,1938,18,Italy,6
1938--france,1938,18,Italy,35
1938--france,1938,18,Italy,16
1938--france,1938,18,Italy,82
1950--brazil,1950,1,Brazil,30
1950--brazil,1950,1,Brazil,79
1950--brazil,1950,1,Brazil,65
1950--brazil,1950,1,Brazil,71
1950--brazil,1950,5,Yugoslavia,59
1950--brazil,1950,5,Yugoslavia,70
1950--brazil,1950,5,Yugoslavia,75
1950--brazil,1950,6,Brazil,3
